2025-10-01T11:57:47.483838,(2(0)-1759345067:483838),CDHDeployment.rateGroup2.RgMaxTime,768,186 us
2025-10-01T11:57:47.483955,(2(0)-1759345067:483955),CDHDeployment.bufferManager.HiBuffs,17410,2
2025-10-01T11:57:47.483964,(2(0)-1759345067:483964),CDHDeployment.bufferManager.CurrBuffs,17409,1
2025-10-01T11:57:47.483968,(2(0)-1759345067:483968),CDHDeployment.bufferManager.TotalBuffs,17408,90
2025-10-01T11:57:47.483971,(2(0)-1759345067:483971),CDHDeployment.bufferManager.NoBuffs,17411,0
2025-10-01T11:57:47.483977,(2(0)-1759345067:483977),CDHDeployment.bufferManager.EmptyBuffs,17412,0
2025-10-01T11:57:47.483984,(2(0)-1759345067:483984),CDHDeployment.rateGroup3.RgMaxTime,1024,350 us
2025-10-01T11:57:47.485031,(2(0)-1759345067:485031),CDHDeployment.systemResources.CPU_00,18949,4.53 percent
2025-10-01T11:57:47.485856,(2(0)-1759345067:485856),CDHDeployment.systemResources.CPU_01,18950,4.53 percent
2025-10-01T11:57:47.486753,(2(0)-1759345067:486753),CDHDeployment.systemResources.CPU_02,18951,5.65 percent
2025-10-01T11:57:47.487817,(2(0)-1759345067:487817),CDHDeployment.systemResources.CPU_03,18952,4.95 percent
2025-10-01T11:57:47.487823,(2(0)-1759345067:487823),CDHDeployment.systemResources.CPU,18948,4.91 percent
2025-10-01T11:57:47.487855,(2(0)-1759345067:487855),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:47.487860,(2(0)-1759345067:487860),CDHDeployment.systemResources.MEMORY_USED,18945,119804 KB
2025-10-01T11:57:47.487889,(2(0)-1759345067:487889),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:47.487893,(2(0)-1759345067:487893),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:47.487954,(2(0)-1759345067:487954),CDHDeployment.rateGroup1.RgMaxTime,512,4316 us
2025-10-01T11:57:47.487994,(2(0)-1759345067:487994),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:47.488006,(2(0)-1759345067:488006),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
2025-10-01T11:57:48.484896,(2(0)-1759345068:484896),CDHDeployment.systemResources.CPU_00,18949,18.18 percent
2025-10-01T11:57:48.485702,(2(0)-1759345068:485702),CDHDeployment.systemResources.CPU_01,18950,15.00 percent
2025-10-01T11:57:48.486605,(2(0)-1759345068:486605),CDHDeployment.systemResources.CPU_02,18951,17.53 percent
2025-10-01T11:57:48.487678,(2(0)-1759345068:487678),CDHDeployment.systemResources.CPU_03,18952,11.22 percent
2025-10-01T11:57:48.487687,(2(0)-1759345068:487687),CDHDeployment.systemResources.CPU,18948,15.48 percent
2025-10-01T11:57:48.487713,(2(0)-1759345068:487713),CDHDeployment.systemResources.MEMORY_TOTAL,18944,426836 KB
2025-10-01T11:57:48.487719,(2(0)-1759345068:487719),CDHDeployment.systemResources.MEMORY_USED,18945,121872 KB
2025-10-01T11:57:48.487746,(2(0)-1759345068:487746),CDHDeployment.systemResources.NON_VOLATILE_FREE,18947,55507608 KB
2025-10-01T11:57:48.487749,(2(0)-1759345068:487749),CDHDeployment.systemResources.NON_VOLATILE_TOTAL,18946,60785600 KB
2025-10-01T11:57:48.487930,(2(0)-1759345068:487930),CDHDeployment.comQueue.comQueueDepth,1792,['1', '1']
2025-10-01T11:57:48.487943,(2(0)-1759345068:487943),CDHDeployment.comQueue.buffQueueDepth,1793,['0']
