2025-10-01T11:57:46.471423,(2(0)-1759345066:471423),CDHDeployment.prmDb.PrmFileReadError,3334,EventSeverity.WARNING_HI,Parameter file read failed in stage OPEN with record 0 and error 1
2025-10-01T11:57:47.488048,(2(0)-1759345067:488048),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:48.488052,(2(0)-1759345068:488052),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:49.487922,(2(0)-1759345069:487922),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:50.487948,(2(0)-1759345070:487948),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:51.488212,(2(0)-1759345071:488212),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:52.487851,(2(0)-1759345072:487851),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:53.488005,(2(0)-1759345073:488005),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:54.487864,(2(0)-1759345074:487864),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:55.488027,(2(0)-1759345075:488027),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:56.488060,(2(0)-1759345076:488060),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:57.487887,(2(0)-1759345077:487887),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:58.487883,(2(0)-1759345078:487883),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:57:59.488336,(2(0)-1759345079:488336),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:58:00.487904,(2(0)-1759345080:487904),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
2025-10-01T11:58:01.488154,(2(0)-1759345081:488154),CDHDeployment.radioBridge.RADIO_TX_STARTED,3584,EventSeverity.ACTIVITY_LO,Radio transmission started
