[2025-11-05 19:14:13,519] [INFO] root: Logging system initialized!
[2025-11-05 19:14:13,521] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with space-packet-space-data-link
[2025-11-05 19:14:13,523] [INFO] udp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:13,526] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-11-05 19:14:13,695] [INFO] tcp_handler: Client connected to 192.168.1.11:50000
[2025-11-05 19:14:14,024] [INFO] transport: Outgoing binding to: ipc:///tmp/fprime-server-out
[2025-11-05 20:29:07,832] [WARNING] tcp_handler: Read failure attempting reconnection. OSError: [Errno 113] No route to host
[2025-11-05 20:29:10,903] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:18,241] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:22,305] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:26,374] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:30,433] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:34,497] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:38,561] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:42,626] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:46,689] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:53,409] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:29:57,473] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:01,537] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:05,601] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:09,665] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:13,729] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:17,793] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:21,857] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:29,249] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:33,314] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:37,377] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:41,441] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:45,505] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:49,569] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:53,637] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:30:57,697] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:03,862] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:07,926] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:11,990] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:16,054] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:20,118] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:24,182] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:28,246] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
[2025-11-05 20:31:32,310] [WARNING] tcp_handler: Failed to open socket at 192.168.1.11:50000, retrying: OSError: [Errno 113] No route to host
